category,median_of_medians,deviation_of_medians
A,5.56,0.3700000000000001
B,5.56,0.54
D,5.56,0.25
A,5.56,0.3700000000000001
C,5.56,0.6399999999999997
B,5.56,0.54
B,5.56,0.54
A,5.56,0.3700000000000001
A,5.56,0.3700000000000001
A,5.56,0.3700000000000001
A,5.56,0.3700000000000001
D,5.56,0.25
C,5.56,0.6399999999999997
B,5.56,0.54
D,5.56,0.25
A,5.56,0.3700000000000001
B,5.56,0.54
C,5.56,0.6399999999999997
C,5.56,0.6399999999999997
A,5.56,0.3700000000000001
B,5.56,0.54
A,5.56,0.3700000000000001
C,5.56,0.6399999999999997
D,5.56,0.25
A,5.56,0.3700000000000001
B,5.56,0.54
C,5.56,0.6399999999999997
A,5.56,0.3700000000000001
A,5.56,0.3700000000000001
C,5.56,0.6399999999999997
D,5.56,0.25
D,5.56,0.25
B,5.56,0.54
B,5.56,0.54
B,5.56,0.54
C,5.56,0.6399999999999997
A,5.56,0.3700000000000001
C,5.56,0.6399999999999997
B,5.56,0.54
A,5.56,0.3700000000000001
A,5.56,0.3700000000000001
D,5.56,0.25
A,5.56,0.3700000000000001
D,5.56,0.25
C,5.56,0.6399999999999997
A,5.56,0.3700000000000001
B,5.56,0.54
C,5.56,0.6399999999999997
C,5.56,0.6399999999999997
A,5.56,0.3700000000000001
